00001 A00     0 Cholera                                                      Cholera
04874 K119    1 Disease of salivary gland, unspecified                       Disease of salivary gland, unspecified
04875 K12     0 Stomatitis and related lesions                               Stomatitis and related lesions
04876 K120    1 Recurrent oral aphthae                                       Recurrent oral aphthae
04877 K121    1 Other forms of stomatitis                                    Other forms of stomatitis
04878 K122    1 Cellulitis and abscess of mouth                              Cellulitis and abscess of mouth
04879 K123    1 Oral mucositis (ulcerative)                                  Oral mucositis (ulcerative)
04880 K13     0 Other diseases of lip and oral mucosa                        Other diseases of lip and oral mucosa
04881 K130    1 Diseases of lips                                             Diseases of lips
04882 K131    1 Cheek and lip biting                                         Cheek and lip biting
04883 K132    0 Leukoplakia and other disturbances of oral epithel           Leukoplakia and other disturbances of oral epithelium, including tongue
04884 K1329   1 Other disturbances of oral epithelium, including t           Other disturbances of oral epithelium, including tongue
04885 K133    1 Hairy leukoplakia                                            Hairy leukoplakia
04886 K134    1 Granuloma and granuloma-like lesions of oral mucos           Granuloma and granuloma-like lesions of oral mucosa
04887 K135    1 Oral submucous fibrosis                                      Oral submucous fibrosis
04888 K136    1 Irritative hyperplasia of oral mucosa                        Irritative hyperplasia of oral mucosa
04889 K137    1 Other and unspecified lesions of oral mucosa                 Other and unspecified lesions of oral mucosa
04890 K14     0 Diseases of tongue                                           Diseases of tongue
04891 K140    1 Glossitis                                                    Glossitis
04892 K141    1 Geographic tongue                                            Geographic tongue
04893 K142    1 Median rhomboid glossitis                                    Median rhomboid glossitis
04894 K143    1 Hypertrophy of tongue papillae                               Hypertrophy of tongue papillae
04895 K144    1 Atrophy of tongue papillae                                   Atrophy of tongue papillae
04896 K145    1 Plicated tongue                                              Plicated tongue
04897 K146    1 Glossodynia                                                  Glossodynia
04898 K148    1 Other diseases of tongue                                     Other diseases of tongue
04899 K149    1 Disease of tongue, unspecified                               Disease of tongue, unspecified
04900 K20     1 Oesophagitis                                                 Oesophagitis
04901 K21     0 Gastro-oesophageal reflux disease                            Gastro-oesophageal reflux disease
04902 K210    1 Gastro-oesophageal reflux disease with oesophagiti           Gastro-oesophageal reflux disease with oesophagitis
04903 K219    1 Gastro-oesophageal reflux disease without oesophag           Gastro-oesophageal reflux disease without oesophagitis
04904 K22     0 Other diseases of oesophagus                                 Other diseases of oesophagus
04905 K220    1 Achalasia of cardia                                          Achalasia of cardia
04906 K221    1 Ulcer of oesophagus                                          Ulcer of oesophagus
04907 K222    1 Oesophageal obstruction                                      Oesophageal obstruction
04908 K223    1 Perforation of oesophagus                                    Perforation of oesophagus
04909 K224    1 Dyskinesia of oesophagus                                     Dyskinesia of oesophagus
04910 K225    1 Diverticulum of oesophagus, acquired                         Diverticulum of oesophagus, acquired
04911 K226    1 Gastro-oesophageal laceration-haemorrhage syndrome           Gastro-oesophageal laceration-haemorrhage syndrome
04912 K227    1 Barrett's oesophagus                                         Barrett's oesophagus
04913 K228    1 Other specified diseases of oesophagus                       Other specified diseases of oesophagus
04914 K229    1 Disease of oesophagus, unspecified                           Disease of oesophagus, unspecified
